Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-03-23T18:32:48.369Z","Included","agent_review","No","0","0","0","0","0","Included"
"2026-03-23T18:24:16.621Z","Included","claude-4.6-sonnet-medium-thinking","No","62761","7","246116","2478","311362","Included"
"2026-03-23T18:18:13.749Z","Included","claude-4.6-sonnet-medium-thinking","No","1782","4","112398","1856","116040","Included"
"2026-03-23T18:14:50.645Z","Included","claude-4.6-sonnet-medium-thinking","No","11056","12","492823","4588","508479","Included"
"2026-03-23T18:12:51.405Z","Included","claude-4.6-sonnet-medium-thinking","No","4268","7","207288","3595","215158","Included"
"2026-03-23T18:09:09.533Z","Included","composer-2-fast","No","0","30447","74432","3976","108855","Included"
"2026-03-23T18:09:02.945Z","Included","claude-4.6-sonnet-medium-thinking","No","40911","27","743124","10257","794319","Included"
"2026-03-23T18:00:55.591Z","Included","claude-4.6-sonnet-medium-thinking","No","122814","8","727775","685","851282","Included"
"2026-03-23T18:00:03.081Z","Included","claude-4.6-sonnet-medium-thinking","No","138998","6","415338","1682","556024","Included"
"2026-03-23T17:51:04.667Z","Included","claude-4.6-sonnet-medium-thinking","No","26367","39","4345549","8893","4380848","Included"
"2026-03-23T17:48:03.290Z","Included","claude-4.6-sonnet-medium-thinking","No","105213","8","517775","3313","626309","Included"
"2026-03-23T17:47:16.338Z","Included","claude-4.6-sonnet-medium-thinking","No","578","4","201504","273","202359","Included"
"2026-03-23T17:45:21.866Z","Included","claude-4.6-sonnet-medium-thinking","No","7903","9","681244","4092","693248","Included"
"2026-03-23T17:42:50.341Z","Included","claude-4.6-sonnet-medium-thinking","No","92697","12","816457","2159","911325","Included"
"2026-03-23T17:41:39.114Z","Included","claude-4.6-opus-high-thinking","No","86801","7","339395","3336","429539","Included"
"2026-03-23T17:34:43.341Z","Included","claude-4.6-opus-high-thinking","No","81875","41","2605351","17573","2704840","Included"
"2026-03-23T17:32:26.260Z","Included","claude-4.6-sonnet-medium-thinking","No","3920","10","287921","1070","292921","Included"
"2026-03-23T17:31:03.757Z","Included","claude-4.6-sonnet-medium-thinking","No","33464","6","98769","827","133066","Included"
"2026-03-23T17:29:38.091Z","Included","claude-4.6-sonnet-medium-thinking","No","30356","6","79262","2845","112469","Included"
"2026-03-23T17:29:06.479Z","Included","claude-4.6-sonnet-medium-thinking","No","45912","11","258701","2964","307588","Included"
"2026-03-18T17:14:31.686Z","Included","auto","No","0","126413","2283520","35546","2445479","Included"
"2026-03-18T17:14:21.876Z","Included","auto","No","0","0","0","0","0","Included"
"2026-03-18T17:13:39.152Z","Included","auto","No","0","51283","25600","910","77793","Included"
"2026-03-18T17:12:53.138Z","Included","composer-1.5","No","0","28531","57760","2082","88373","Included"
"2026-03-18T17:12:33.374Z","Included","claude-4.6-opus-high-thinking","No","28211","6","72431","2362","103010","Included"
"2026-03-18T16:53:25.149Z","Included","auto","No","0","7603","376320","2648","386571","Included"
"2026-03-18T16:50:46.095Z","Included","auto","No","0","38653","172032","1487","212172","Included"
"2026-03-18T16:46:05.621Z","Included","auto","No","0","36349","220672","718","257739","Included"
"2026-03-18T16:34:08.874Z","Included","auto","No","0","115095","355328","5809","476232","Included"
"2026-03-16T11:48:22.789Z","Included","composer-1.5","No","0","16957","114816","2654","134427","Included"
"2026-03-16T11:48:10.799Z","Included","claude-4.6-opus-high-thinking","No","29132","5","50664","1963","81764","Included"
"2026-03-16T11:46:52.632Z","Included","claude-4.6-opus-high-thinking","No","28958","7","103373","1436","133774","Included"
"2026-03-15T13:16:04.746Z","Included","auto","No","0","477","396032","231","396740","Included"
"2026-03-15T13:14:20.519Z","Included","auto","No","0","2653","650880","1264","654797","Included"
"2026-03-15T13:09:21.132Z","Included","auto","No","0","474","383200","302","383976","Included"
"2026-03-15T13:08:30.878Z","Included","auto","No","0","114441","387552","2208","504201","Included"
"2026-03-15T13:04:15.778Z","Included","auto","No","0","180107","851584","1462","1033153","Included"
"2026-03-15T02:33:42.229Z","Included","auto","No","0","1740","801280","2286","805306","Included"
"2026-03-15T02:32:38.091Z","Included","auto","No","0","6853","553824","2029","562706","Included"
"2026-03-15T02:31:22.750Z","Included","auto","No","0","4836","430240","1528","436604","Included"
"2026-03-15T02:30:33.294Z","Included","auto","No","0","13648","311776","4149","329573","Included"
"2026-03-15T02:27:52.056Z","Included","auto","No","0","19614","1735168","13401","1768183","Included"
"2026-03-15T02:26:17.087Z","Included","claude-4.6-sonnet-medium-thinking","No","86743","5","159714","3954","250416","Included"
"2026-03-15T02:21:27.053Z","Included","auto","No","0","1773","659008","3392","664173","Included"
"2026-03-15T02:20:20.413Z","Included","auto","No","0","5656","403648","6644","415948","Included"
"2026-03-15T02:18:10.993Z","Included","auto","No","0","15290","498592","8217","522099","Included"
"2026-03-15T02:17:18.694Z","Included","auto","No","0","885","157504","626","159015","Included"
"2026-03-15T02:16:15.227Z","Included","auto","No","0","5504","192526","2391","200421","Included"
"2026-03-15T02:15:31.705Z","Included","auto","No","0","6910","204525","4841","216276","Included"
"2026-03-15T02:14:29.642Z","Included","auto","No","0","54871","135648","7972","198491","Included"
"2026-03-15T02:12:58.116Z","Included","auto","No","0","34598","193888","6195","234681","Included"
"2026-03-15T02:12:52.899Z","Included","auto","No","0","9168","102944","1236","113348","Included"
"2026-03-15T02:12:42.698Z","Included","claude-4.6-sonnet-medium-thinking","No","5924","5","66636","255","72820","Included"
"2026-03-15T02:12:04.614Z","Included","claude-4.6-sonnet-medium-thinking","No","29460","7","104166","2104","135737","Included"
"2026-03-15T02:10:20.899Z","Included","auto","No","0","42774","135584","3006","181364","Included"
"2026-03-15T02:06:42.843Z","Included","auto","No","0","14647","195296","7929","217872","Included"
"2026-03-15T02:06:38.974Z","Included","auto","No","0","46991","148448","5853","201292","Included"
"2026-03-15T01:39:44.353Z","Included","claude-4.6-sonnet-medium-thinking","No","60566","9","205860","4790","271225","Included"
"2026-03-15T01:39:36.626Z","Included","claude-4.6-sonnet-medium-thinking","No","50019","9","205051","7155","262234","Included"
"2026-03-15T01:32:29.622Z","Included","auto","No","0","95371","1745504","10449","1851324","Included"
"2026-03-15T01:23:25.349Z","Included","auto","No","0","7695","760800","8323","776818","Included"
"2026-03-15T01:20:25.001Z","Included","auto","No","0","2144","711808","5320","719272","Included"
"2026-03-15T01:18:05.002Z","Included","auto","No","0","7880","1399919","10137","1417936","Included"
"2026-03-15T01:15:48.363Z","Included","auto","No","0","6288","740352","6514","753154","Included"
"2026-03-15T01:13:57.903Z","Included","auto","No","0","5449","294816","4594","304859","Included"
"2026-03-15T01:12:55.150Z","Included","auto","No","0","127","96032","222","96381","Included"
"2026-03-15T01:11:33.065Z","Included","auto","No","0","3288","1005184","7069","1015541","Included"
"2026-03-15T01:09:49.758Z","Included","auto","No","0","11214","1047040","9220","1067474","Included"
"2026-03-15T00:53:39.230Z","Included","auto","No","0","18456","849792","8699","876947","Included"
"2026-03-15T00:51:57.947Z","Included","auto","No","0","4287","334752","1862","340901","Included"
"2026-03-15T00:50:59.233Z","Included","auto","No","0","10440","264064","2597","277101","Included"
"2026-03-15T00:50:21.606Z","Included","auto","No","0","4436","147616","800","152852","Included"
"2026-03-15T00:48:53.505Z","Included","auto","No","0","8407","46592","2276","57275","Included"
"2026-03-15T00:45:34.330Z","Included","auto","No","0","17180","170240","712","188132","Included"
"2026-03-15T00:44:39.855Z","Included","auto","No","0","4853","127168","1203","133224","Included"
"2026-03-15T00:43:08.990Z","Included","auto","No","0","8658","302816","4315","315789","Included"
"2026-03-15T00:40:02.213Z","Included","auto","No","0","2120","23520","466","26106","Included"
"2026-03-15T00:36:56.419Z","Included","auto","No","0","37218","112192","4555","153965","Included"
"2026-03-15T00:32:09.579Z","Included","claude-4.5-sonnet-thinking","No","4067","11","48973","559","53610","Included"
"2026-03-15T00:30:50.336Z","Included","claude-4.5-sonnet-thinking","No","30808","19","43254","830","74911","Included"
"2026-03-14T15:09:56.413Z","Included","claude-4.5-sonnet-thinking","No","5013","3","109232","368","114616","Included"
"2026-03-14T15:09:23.064Z","Included","claude-4.5-sonnet-thinking","No","52974","4","55345","752","109075","Included"
"2026-03-14T14:51:28.832Z","Included","claude-4.5-sonnet-thinking","No","4453","8","97738","382","102581","Included"
"2026-03-14T14:50:36.298Z","Included","claude-4.5-sonnet-thinking","No","3736","7","62008","524","66275","Included"
"2026-03-14T14:46:12.776Z","Included","claude-4.5-sonnet-thinking","No","10667","16","112969","686","124338","Included"
"2026-03-14T14:44:50.633Z","Included","claude-4.5-sonnet-thinking","No","35070","22","71163","2226","108481","Included"
"2026-03-14T14:41:56.088Z","Included","auto","No","0","40847","580256","9042","630145","Included"
"2026-03-14T14:38:44.896Z","Included","auto","No","0","77359","1186304","4751","1268414","Included"
"2026-03-14T14:30:48.423Z","Included","auto","No","0","720","131872","191","132783","Included"
"2026-03-14T14:26:59.274Z","Included","auto","No","0","3246","252544","2238","258028","Included"
"2026-03-14T14:25:38.803Z","Included","auto","No","0","19343","278944","719","299006","Included"
"2026-03-14T14:23:07.293Z","Included","auto","No","0","9978","440192","2989","453159","Included"
"2026-03-14T14:20:22.531Z","Included","auto","No","0","111089","435392","4898","551379","Included"
"2026-03-14T14:20:15.704Z","Included","auto","No","0","41588","292832","5445","339865","Included"
"2026-03-14T14:20:13.901Z","Included","auto","No","0","80628","226912","6137","313677","Included"
"2026-03-14T14:20:11.525Z","Included","auto","No","0","49174","212128","3805","265107","Included"
"2026-03-14T14:20:03.325Z","Included","auto","No","0","45580","137536","2633","185749","Included"
"2026-03-14T14:20:02.765Z","Included","auto","No","0","45346","102048","2624","150018","Included"
"2026-03-14T14:19:58.645Z","Included","auto","No","0","152212","322528","8450","483190","Included"
"2026-03-14T14:19:54.467Z","Included","auto","No","0","39391","55232","1240","95863","Included"
"2026-03-14T14:17:17.528Z","Included","claude-4.5-sonnet-thinking","No","26786","68","297330","5772","329956","Included"
"2026-03-14T13:10:15.282Z","Included","claude-4.5-sonnet-thinking","No","255022","12","0","770","255804","Included"
"2026-03-14T13:06:55.909Z","Included","claude-4.5-sonnet-thinking","No","22701","33","251166","2489","276389","Included"
"2026-03-14T13:06:01.862Z","Included","claude-4.5-sonnet-thinking","No","17279","38","248561","2661","268539","Included"
"2026-03-14T13:03:45.721Z","Included","claude-4.5-sonnet-thinking","No","31686","24","70192","1560","103462","Included"
"2026-03-14T12:57:25.580Z","Included","claude-4.5-sonnet-thinking","No","2705","9","121254","2847","126815","Included"
"2026-03-14T12:56:55.928Z","Included","claude-4.5-sonnet-thinking","No","122814","14","121254","865","244947","Included"
"2026-03-14T12:56:46.984Z","Included","auto","No","0","1426","218976","301","220703","Included"
"2026-03-14T12:50:35.056Z","Included","auto","No","0","1647","540128","956","542731","Included"
"2026-03-14T12:34:21.350Z","Included","auto","No","0","6377","1311296","8266","1325939","Included"
"2026-03-14T12:24:08.088Z","Included","auto","No","0","82510","682304","4835","769649","Included"
"2026-03-14T11:27:12.406Z","Included","auto","No","0","5054","275552","1237","281843","Included"
"2026-03-14T11:17:39.257Z","Included","auto","No","0","9377","200672","1085","211134","Included"
"2026-03-14T11:15:51.252Z","Included","auto","No","0","28001","175200","1970","205171","Included"
